trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.002, 'e': 0.874590064603334}",20,0,-45.74463296868987,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
68,False,"{'a': 0.002, 'e': 0.8728426324887193}",25,0,-137.9478911279068,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
69,False,"{'a': 0.002, 'e': 0.8710986917457983}",30,0,-128.77931050942527,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.8693582353988059}",25,0,-102.48253076686593,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
71,False,"{'a': 0.002, 'e': 0.867621256485914}",25,0,-98.55308823559535,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
72,False,"{'a': 0.002, 'e': 0.865887748059205}",20,0,-81.10741346283412,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
73,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,3,-53.9331218020112,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 0}",1
74,False,"{'a': 0.002, 'e': 0.8624311149420455}",20,0,-117.8356326959344,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8607079764250578}",25,0,-71.21646836754564,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
76,False,"{'a': 0.002, 'e': 0.8589882807411234}",30,1,-88.80927719391231,"{0: 19, 1: 5, 2: 3, 3: 1, 4: 1}",1
77,False,"{'a': 0.002, 'e': 0.8572720210114575}",20,0,-146.8568801968194,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
78,False,"{'a': 0.002, 'e': 0.8555591903710185}",25,0,-235.2664998276821,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
79,False,"{'a': 0.002, 'e': 0.8538497819684817}",25,0,-105.79473018972969,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
80,False,"{'a': 0.002, 'e': 0.8521437889662113}",25,0,-129.51441551367373,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
81,False,"{'a': 0.002, 'e': 0.850441204540233}",20,0,-152.7973154664297,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
82,False,"{'a': 0.002, 'e': 0.8487420218802068}",30,0,-112.85515165830233,"{0: 18, 1: 3, 2: 6, 3: 3, 4: 0}",0
83,False,"{'a': 0.002, 'e': 0.8470462341893996}",25,0,-98.63184923463375,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
84,False,"{'a': 0.002, 'e': 0.8453538346846587}",25,0,-118.3265730538494,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
85,False,"{'a': 0.002, 'e': 0.8436648165963837}",20,0,-120.56513362834065,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
86,False,"{'a': 0.002, 'e': 0.8419791731684999}",20,0,-115.12821355821652,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
87,False,"{'a': 0.002, 'e': 0.8402968976584314}",30,16,-72.86378066386365,"{0: 9, 1: 1, 2: 2, 3: 1, 4: 1}",1
88,False,"{'a': 0.002, 'e': 0.838617983337074}",30,0,-140.96803166240767,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
89,False,"{'a': 0.002, 'e': 0.8369424234887681}",20,0,-139.29164053794224,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
90,False,"{'a': 0.002, 'e': 0.835270211411272}",30,13,-5.1359858109764405,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
91,False,"{'a': 0.002, 'e': 0.8336013404157353}",20,0,-62.99974326156202,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
92,False,"{'a': 0.002, 'e': 0.8319358038266718}",25,0,-65.14309695058371,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
93,False,"{'a': 0.002, 'e': 0.8302735949819326}",25,11,-82.26734995726162,"{0: 7, 1: 1, 2: 5, 3: 0, 4: 1}",1
94,False,"{'a': 0.002, 'e': 0.8286147072326806}",30,0,-70.45497999714276,"{0: 21, 1: 1, 2: 7, 3: 1, 4: 0}",0
95,False,"{'a': 0.002, 'e': 0.8269591339433623}",20,0,-138.82787607564768,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
96,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-48.09961454044199,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.002, 'e': 0.8236579042685769}",20,0,-76.45919220731142,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
98,False,"{'a': 0.002, 'e': 0.8220122346781865}",30,0,-190.92399982232587,"{0: 16, 1: 5, 2: 4, 3: 3, 4: 2}",0
99,False,"{'a': 0.002, 'e': 0.8203698531378311}",25,18,-49.935532528175706,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
100,False,"{'a': 0.002, 'e': 0.8187307530779818}",20,0,-26.942530337823136,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
101,False,"{'a': 0.002, 'e': 0.8170949279422366}",30,0,-110.53295145980393,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
102,False,"{'a': 0.002, 'e': 0.8154623711872927}",25,0,-17.898697350173414,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.002, 'e': 0.8138330762829207}",20,0,-82.01409631559304,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
104,False,"{'a': 0.002, 'e': 0.812207036711939}",20,0,-107.3849311126433,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
105,False,"{'a': 0.002, 'e': 0.8105842459701871}",20,0,-80.52094544418752,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.002, 'e': 0.8089646975664998}",25,0,-22.223026582896978,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
107,False,"{'a': 0.002, 'e': 0.8073483850226815}",25,0,-78.56631450174893,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
108,False,"{'a': 0.002, 'e': 0.8057353018734796}",30,0,-163.69739122208878,"{0: 16, 1: 3, 2: 9, 3: 0, 4: 2}",0
109,False,"{'a': 0.002, 'e': 0.8041254416665596}",25,0,-92.30483103969108,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
110,False,"{'a': 0.002, 'e': 0.8025187979624785}",20,0,-143.68633808159254,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
111,False,"{'a': 0.002, 'e': 0.8009153643346592}",30,10,-54.62282820494795,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
112,False,"{'a': 0.002, 'e': 0.7993151343693651}",20,0,-91.92641637531719,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
113,False,"{'a': 0.002, 'e': 0.7977181016656743}",30,19,12.667527583203313,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.002, 'e': 0.7961242598354538}",30,6,-93.20489572022485,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 2}",1
115,False,"{'a': 0.002, 'e': 0.794533602503334}",20,3,-39.49638020433757,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 0}",1
116,False,"{'a': 0.002, 'e': 0.7929461233066837}",35,0,-122.23886054969756,"{0: 22, 1: 3, 2: 7, 3: 3, 4: 0}",0
117,False,"{'a': 0.002, 'e': 0.7913618158955839}",25,0,-42.130068397467305,"{0: 18, 1: 4, 2: 1, 3: 2, 4: 0}",0
118,False,"{'a': 0.002, 'e': 0.7897806739328027}",20,0,-52.69901801816001,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
119,False,"{'a': 0.002, 'e': 0.7882026910937704}",20,3,8.730549089250804,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.002, 'e': 0.7866278610665535}",20,0,-127.39396205844618,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
121,False,"{'a': 0.002, 'e': 0.7850561775518295}",30,14,-36.838240309822396,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.002, 'e': 0.7834876342628625}",20,0,-57.300768942895,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
123,False,"{'a': 0.002, 'e': 0.7819222249254772}",20,0,-148.92015561903858,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
124,False,"{'a': 0.002, 'e': 0.7803599432780343}",30,4,-66.06567787655182,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 0}",1
125,False,"{'a': 0.002, 'e': 0.7788007830714049}",30,17,1.3619101518305625,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.002, 'e': 0.7772447380689461}",20,0,-111.22940684364157,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
127,False,"{'a': 0.002, 'e': 0.775691802046476}",25,5,-95.84663447563575,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",1
128,False,"{'a': 0.002, 'e': 0.7741419687922484}",25,11,-4.543767176500024,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
129,False,"{'a': 0.002, 'e': 0.772595232106928}",20,0,-93.55521262054366,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
130,False,"{'a': 0.002, 'e': 0.7710515858035663}",20,0,-45.92687703816753,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
131,False,"{'a': 0.002, 'e': 0.7695110237075758}",20,8,-38.14352549620518,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 0}",1
132,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,0,-128.9119463029799,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
133,False,"{'a': 0.002, 'e': 0.7664391275010192}",20,0,-12.338287089467023,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
134,False,"{'a': 0.002, 'e': 0.764907781102864}",25,0,-119.96800999005734,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
135,False,"{'a': 0.002, 'e': 0.7633794943368531}",25,0,-90.47366589256359,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",1
136,False,"{'a': 0.002, 'e': 0.7618542610898376}",30,0,-182.76468637431978,"{0: 20, 1: 1, 2: 3, 3: 3, 4: 3}",0
137,False,"{'a': 0.002, 'e': 0.7603320752608821}",20,0,-160.24867047654413,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
138,False,"{'a': 0.002, 'e': 0.7588129307612413}",20,0,-95.30605795874266,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
139,False,"{'a': 0.002, 'e': 0.7572968215143355}",20,6,-23.8513909810617,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
140,False,"{'a': 0.002, 'e': 0.7557837414557255}",30,6,-91.08480815666228,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 1}",1
141,False,"{'a': 0.002, 'e': 0.754273684533089}",35,0,-95.23730119629386,"{0: 24, 1: 6, 2: 3, 3: 1, 4: 1}",0
142,False,"{'a': 0.002, 'e': 0.7527666447061963}",30,6,-106.25130204164806,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 1}",1
143,False,"{'a': 0.002, 'e': 0.751262615946886}",20,0,-96.16720874971124,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
144,False,"{'a': 0.002, 'e': 0.7497615922390413}",20,0,-102.85830993994718,"{0: 11, 1: 5, 2: 1, 3: 2, 4: 1}",0
145,False,"{'a': 0.002, 'e': 0.7482635675785653}",20,0,-43.02932034616075,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
146,False,"{'a': 0.002, 'e': 0.7467685359733571}",20,0,-102.66217704186334,"{0: 9, 1: 5, 2: 5, 3: 0, 4: 1}",0
147,False,"{'a': 0.002, 'e': 0.7452764914432887}",25,0,-47.11322013559499,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
148,False,"{'a': 0.002, 'e': 0.7437874280201796}",30,0,-64.37410748033534,"{0: 22, 1: 2, 2: 3, 3: 3, 4: 0}",0
149,False,"{'a': 0.002, 'e': 0.7423013397477743}",25,13,-12.745726454270164,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
150,False,"{'a': 0.002, 'e': 0.7408182206817179}",25,20,11.019902402673061,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.002, 'e': 0.7393380648895319}",20,0,-59.74096936970662,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
152,False,"{'a': 0.002, 'e': 0.7378608664505911}",25,15,-1.4562372405100585,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.002, 'e': 0.7363866194561001}",30,0,-123.76520402714344,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
154,False,"{'a': 0.002, 'e': 0.7349153180090687}",20,7,-23.311407142427598,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.002, 'e': 0.7334469562242892}",25,0,-149.6893302397141,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
156,False,"{'a': 0.002, 'e': 0.7319815282283126}",30,0,-73.61377933965612,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",1
157,False,"{'a': 0.002, 'e': 0.7305190281594249}",25,14,-11.264598916044813,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
158,False,"{'a': 0.002, 'e': 0.7290594501676237}",25,0,-70.38173438716807,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
159,False,"{'a': 0.002, 'e': 0.7276027884145955}",20,0,-89.09377001623264,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
160,False,"{'a': 0.002, 'e': 0.7261490370736909}",25,0,-199.5511308956401,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
161,False,"{'a': 0.002, 'e': 0.7246981903299029}",35,21,-2.8701516130676774,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.002, 'e': 0.7232502423798424}",20,0,-169.33454001483173,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
163,False,"{'a': 0.002, 'e': 0.7218051874317158}",25,0,-103.10283565480898,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
164,False,"{'a': 0.002, 'e': 0.7203630197053014}",30,0,-124.59944030960516,"{0: 20, 1: 1, 2: 6, 3: 2, 4: 1}",0
165,False,"{'a': 0.002, 'e': 0.7189237334319262}",35,0,-82.9549626354253,"{0: 23, 1: 9, 2: 1, 3: 1, 4: 1}",0
166,False,"{'a': 0.002, 'e': 0.7174873228544433}",25,0,-33.388929259040964,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
167,False,"{'a': 0.002, 'e': 0.7160537822272085}",25,0,-105.18680797108173,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
168,False,"{'a': 0.002, 'e': 0.7146231058160573}",25,0,-113.28164368345212,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
169,False,"{'a': 0.002, 'e': 0.7131952878982822}",25,7,-81.73968443002242,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
170,False,"{'a': 0.002, 'e': 0.7117703227626097}",20,0,-54.93285309171319,"{0: 13, 1: 6, 2: 0, 3: 0, 4: 1}",0
171,False,"{'a': 0.002, 'e': 0.7103482047091773}",35,0,-118.15530934051893,"{0: 26, 1: 3, 2: 3, 3: 1, 4: 2}",0
172,False,"{'a': 0.002, 'e': 0.7089289280495107}",25,0,-63.39109271594463,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
173,False,"{'a': 0.002, 'e': 0.7075124871065017}",25,0,-98.55921876802007,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
174,False,"{'a': 0.002, 'e': 0.7060988762143844}",30,0,-111.86378918246392,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
175,False,"{'a': 0.002, 'e': 0.7046880897187134}",25,0,-121.13553759240877,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
176,False,"{'a': 0.002, 'e': 0.7032801219763409}",25,0,-134.6101427684445,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 3}",0
177,False,"{'a': 0.002, 'e': 0.701874967355394}",20,0,-162.89685538515448,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
178,False,"{'a': 0.002, 'e': 0.7004726202352524}",20,0,-100.82939949937061,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
179,False,"{'a': 0.002, 'e': 0.6990730750065257}",20,0,-75.60145323896356,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
180,False,"{'a': 0.002, 'e': 0.697676326071031}",25,0,-154.85415757034872,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",0
181,False,"{'a': 0.002, 'e': 0.696282367841771}",35,1,-222.50147000486686,"{0: 24, 1: 2, 2: 1, 3: 2, 4: 5}",1
182,False,"{'a': 0.002, 'e': 0.6948911947429106}",20,0,-65.73673175438546,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
183,False,"{'a': 0.002, 'e': 0.6935028012097558}",25,0,-126.32075503991608,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
